difficulty,question,option_a,option_b,option_c,option_d,correct,explanation
EASY,"Java la gi?","He dieu hanh","Ngon ngu lap trinh","Trinh duyet web","Co so du lieu",2,"Java la mot ngon ngu lap trinh huong doi tuong."
EASY,"File ma nguon Java thuong co duoi gi?"," .js "," .java "," .class "," .jar ",2,"Ma nguon Java duoc viet trong file .java."
EASY,"Lenh nao dung de in ra man hinh trong Java?","echo()","print()","System.out.println()","console.log()",3,"System.out.println() la cach in dong co ban trong Java."
EASY,"Tu khoa nao dung de khai bao lop?","function","class","struct","def",2,"Tu khoa class dung de khai bao lop."
EASY,"Phuong thuc main trong Java co vai tro gi?","Luu du lieu","Diem bat dau chuong trinh","Ve giao dien","Ket noi mang",2,"main la diem vao chinh cua chuong trinh Java."
EASY,"Kieu du lieu nao luu so nguyen?","String","boolean","int","double",3,"int dung de luu so nguyen."
EASY,"Kieu du lieu nao luu dung/sai?","float","char","boolean","long",3,"boolean chi co true va false."
EASY,"Tu khoa nao tao doi tuong moi?","make","init","new","create",3,"new dung de tao doi tuong."
EASY,"Chuoi ky tu trong Java thuong dung kieu nao?","Text","char[]","String","word",3,"String la lop dung de xu ly chuoi."
EASY,"Cau lenh re nhanh trong Java la gi?","repeat","if","loop","scan",2,"if dung de kiem tra dieu kien."
MEDIUM,"Java hoat dong dua tren thanh phan nao?","GPU","JVM","BIOS","API Gateway",2,"Ma bytecode Java chay tren JVM."
MEDIUM,"Ket qua cua 5 / 2 voi hai toan hang int la gi?","2","2.5","3","Loi",1,"Phep chia int trong Java cat phan thap phan."
MEDIUM,"Tu khoa nao dung de ke thua lop?","extends","implements","inherits","super",1,"extends dung de ke thua tu mot lop khac."
MEDIUM,"Interface trong Java duoc mot lop su dung bang tu khoa nao?","extends","inherits","implements","instanceof",3,"Lop implements mot interface."
MEDIUM,"ArrayList nam trong package nao?","java.io","java.util","java.sql","java.net",2,"ArrayList thuoc java.util."
MEDIUM,"Phuong thuc nao dung de lay do dai chuoi String?","size()","count()","length()","getLength()",3,"String dung length()."
MEDIUM,"Phuong thuc nao dung de lay so phan tu cua ArrayList?","length()","size()","count()","capacity()",2,"ArrayList dung size()."
MEDIUM,"Tu khoa nao tham chieu den doi tuong hien tai?","self","this","current","object",2,"this tham chieu den doi tuong hien tai."
MEDIUM,"Tu khoa nao goi constructor cua lop cha?","parent","super","base","extends",2,"super() goi constructor lop cha."
MEDIUM,"Kieu nao phu hop de luu gia tri thap phan chinh xac hon?","int","boolean","double","char",3,"double thuong dung cho so thuc."
MEDIUM,"Ngoai le nao xay ra khi chia cho 0 voi so nguyen?","NullPointerException","ArithmeticException","IOException","ClassNotFoundException",2,"Chia so nguyen cho 0 gay ArithmeticException."
MEDIUM,"Tu khoa nao ngan lop bi ke thua?","static","const","final","sealed",3,"final class khong cho phep ke thua."
MEDIUM,"Khi overload method, dieu gi phai khac?","Ten package","Danh sach tham so","Kieu tra ve bat buoc","Muc truy cap bat buoc",2,"Overload can khac tham so."
HARD,"Diem khac nhau chinh giua abstract class va interface la gi?","Interface co constructor","Abstract class co the co state va method co than","Interface ke thua class","Abstract class khong co method",2,"Abstract class co field instance va method da cai dat."
HARD,"Collection nao khong cho phep phan tu trung lap?","List","Set","Queue","ArrayList",2,"Set loai bo phan tu trung lap."
HARD,"HashMap luu du lieu theo dang nao?","Cap key-value","Chi gia tri","Danh sach tuan tu","Cay nhi phan",1,"HashMap to chuc du lieu theo cap khoa-gia tri."
HARD,"Tu khoa synchronized dung de lam gi?","Tang toc do","Dong bo truy cap da luong","Khai bao hang","Bat ngoai le",2,"synchronized giup tranh truy cap tranh chap."
HARD,"Phuong thuc nao co the duoc override?","private method","static method","instance method khong final","constructor",3,"Method instance khong final co the override."
HARD,"Optional trong Java duoc dung de lam gi?","Thay the moi interface","Xu ly gia tri co the null an toan hon","Tao thread moi","Ma hoa du lieu",2,"Optional giam viec thao tac null truc tiep."
HARD,"Stream API thuong duoc dung de lam gi?","Ve giao dien","Xu ly tap hop du lieu theo kieu khai bao","Tao file jar","Ket noi JDBC",2,"Stream API giup filter, map, reduce du lieu."
HARD,"Generics trong Java giup dieu gi?","Tang kich thuoc file","Kiem tra kieu du lieu khi bien dich","Bo qua compiler","Tao giao dien Swing",2,"Generics tang type safety."
HARD,"Trong try-with-resources, doi tuong tai nguyen can thoa dieu kien nao?","Ke thua Thread","Implements AutoCloseable","La static","La final",2,"Tai nguyen phai AutoCloseable de tu dong dong."
HARD,"ClassNotFoundException thuong lien quan den van de nao?","Chia cho 0","Khong tim thay lop khi nap dong","Mang vuot chi so","Null object",2,"Class loader khong tim thay lop can nap."
