difficulty,question,option_a,option_b,option_c,option_d,correct,explanation
EASY,Ngôn ngữ lập trình Java do công ty nào khởi xướng phát triển?,Microsoft,Sun Microsystems,Google,Oracle,2,Java được phát triển ban đầu bởi Sun Microsystems.
EASY,Khẩu hiệu nổi tiếng thể hiện tính độc lập nền tảng của Java là gì?,Write once run anywhere,Compile once run everywhere,Simple and Power,Open source for all,1,Triết lý của Java là Viết một lần chạy mọi nơi.
EASY,JDK là viết tắt của cụm từ nào?,Java Desktop Kit,Java Development Kit,Java Dual Key,Java Digital Kit,2,JDK là bộ công cụ phát triển Java.
EASY,Thành phần nào trong Java có nhiệm vụ thực thi mã Bytecode?,JDK,JRE,JVM,JDB,3,JVM (Java Virtual Machine) là máy ảo thực thi mã bytecode.
EASY,Công cụ nào dùng để biên dịch file nguồn .java thành file .class?,java,javac,javadoc,javap,2,javac là trình biên dịch mã nguồn Java.
EASY,Kiểu dữ liệu 'int' trong Java chiếm bao nhiêu byte bộ nhớ?,1 byte,2 byte,4 byte,8 byte,3,Kiểu int có kích thước mặc định là 4 byte.
EASY,Ký hiệu nào dùng để bắt đầu một chú thích trên một dòng?,//,/*,/**,||,1,Sử dụng // cho chú thích đơn dòng.
EASY,Để in dữ liệu ra màn hình và tự động xuống dòng ta dùng hàm nào?,print(),printf(),println(),out(),3,println() thực hiện in và ngắt dòng.
EASY,Lớp nào trong gói java.util thường dùng để nhập liệu từ bàn phím?,Printer,Scanner,Input,Read,2,Scanner dùng để đọc dữ liệu nhập vào.
EASY,Toán tử '%' trong Java dùng để thực hiện phép tính gì?,Chia lấy phần nguyên,Chia lấy phần dư,Lũy thừa,Căn bậc hai,2,% là toán tử chia lấy dư.
EASY,Trong Java chỉ số (index) của mảng bắt đầu từ số mấy?,1,-1,0,Tùy người dùng định nghĩa,3,Mảng trong Java luôn bắt đầu từ chỉ số 0.
EASY,Từ khóa nào dùng để khai báo một hằng số trong Java?,constant,final,static,stable,2,Dùng final để đánh dấu một biến là hằng số.
